Participating unions,Elections won by unions / Total elections,Elections won by unions / Percent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO affiliates,Elections won by unions / Teamsters,Elections won by unions / Other national unions,Elections won by unions / Unaffiliated unions,Elections won by unions / Local unaffiliated unions,Elections where no representative chosen / Total,Elections where no representative chosen / In elections won,Employees eligible to vote / In units won by AFL-CIO affiliates,Employees eligible to vote / Teamsters,Employees eligible to vote / Other national unions,Employees eligible to vote / Unaffiliated unions,Employees eligible to vote / Local unaffiliated unions,Employees eligible to vote / Elections where
Total representation elections,7529,57.1,4296,2685,1146,294,171,,3233,,211218,35454,26148,22310,256521,
1-union elections (subtotal),6659,53.7,3575,2300,987,201,87,,3084,400353,161011,29496,21601,7932,3002,239354
1-union: AFL-CIO,4275,58.2,2300,2300,,,,,1975,,161011,,,,,158967
1-union: Teamsters,1635,60.4,987,,987,,,,648,,,29496,,,,29802
1-union: Other national unions,365,,201,,,201,,,164,,,,21601,,,
1-union: Unaffiliated national unions,,,87,,,,87,,,,,,,7932,,
1-union: Local unaffiliated unions,330,39.4,130,,,,,130,200,,,,,,3002,11053
2-union elections (subtotal),826,82.8,684,365,151,89,,,142,,,,,,,
2-union,,,,,,,,,,,,,,,,
3 (or more)-union elections (subtotal),44,84.1,37,20,8,4,,,7,,1496,,,,,
3-or-more union,,,,,,,,,,,,,,,,
