row_label,Division and State,Total elections,Number of elections in which representation rights were won by unions: Total,Number of elections in which representation rights were won by unions: AFL-CIO unions,Number of elections in which representation rights were won by unions: Other national unions,Number of elections in which representation rights were won by unions: Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions: Total,Valid votes cast for unions: AFL-CIO unions,Valid votes cast for unions: Other national unions,Valid votes cast for unions: Other local unions,Total votes for no union,Eligible employees in units choosing representation
South Dakota,South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Nebraska,3,1,1,0,0,2,238,220,105,105,0,0,115,172
Kansas,Kansas,4,1,1,0,0,3,110,92,28,28,0,0,64,24
West North Central,West North Central,48,15,13,0,2,33,2107,1769,840,805,0,35,929,1323
Delaware,Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,Maryland,7,3,2,1,0,4,437,354,179,135,0,44,175,167
District of Columbia,District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Virginia,5,2,2,0,0,3,141,125,57,39,0,18,68,25
West Virginia,West Virginia,4,0,0,0,0,4,233,195,60,60,0,0,135,0
North Carolina,North Carolina,7,3,3,0,0,4,715,674,357,336,0,21,317,448
South Carolina,South Carolina,1,0,0,0,0,1,48,48,15,15,0,0,33,0
Georgia,Georgia,9,5,5,0,0,9,1257,1133,537,537,0,0,596,528
Florida,Florida,4,1,1,0,0,3,121,118,28,28,0,0,90,28
South Atlantic,South Atlantic,37,14,13,1,0,23,2952,2647,1233,1150,0,-83,1414,1196
Kentucky,Kentucky,4,1,0,0,1,3,249,242,128,63,65,0,114,96
Tennessee,Tennessee,2,1,1,0,0,1,94,83,57,57,0,0,26,76
Alabama,Alabama,1,0,0,0,0,1,12,12,0,0,0,0,12,0
Mississippi,Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East South Central,East South Central,7,2,1,0,1,5,355,337,185,120,65,0,152,180
Arkansas,Arkansas,1,1,1,0,0,0,26,22,16,16,0,0,6,26
Louisiana,Louisiana,1,0,0,0,0,1,57,46,22,22,0,0,24,0
Oklahoma,Oklahoma,6,4,4,0,0,2,140,134,68,68,0,0,66,102
Texas,Texas,4,0,0,0,0,4,309,196,76,76,0,0,120,0
West South Central,West South Central,12,5,5,0,0,7,532,398,182,182,0,0,216,128
Montana,Montana,2,0,0,0,0,2,36,34,6,6,0,0,28,0
Idaho,Idaho,2,1,1,0,0,1,172,142,117,117,0,0,25,165
Wyoming,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,Colorado,3,2,1,0,1,1,92,89,42,42,0,0,47,71
