Method and stage of disposition,All cases / Number,All cases / Percent of total method,CA cases / Number,CA cases / Percent of total closed,CB cases / Number,CB cases / Percent of total closed,CC cases / Number,CC cases / Percent of total closed,CD cases / Number,CD cases / Percent of total closed,CE cases / Number,CE cases / Percent of total closed,CG cases / Number,CG cases / Percent of total closed,CP cases / Number,CP cases / Percent of total closed
Administrative law judge's decision,8,0.2,,,,,,,,,,,,,,
Withdrawal (total),10349,32.5,8175,34.2,1920,27.4,198,37.9,2,0.8,10,35.7,9,33.3,35,38.4
Dismissal (total),10292,32.4,6213,26.0,3975,56.7,73,13.9,,,6,21.4,6,22.2,22,24.1
Other rows,,,,,,,,,,,,,,,,
