Type of proceeding,Number of cases instituted,Number of applications granted,Number of applications denied,"Cases settled, withdrawn, or pending"
Proceedings under sec. 10(j): (a) Against unions,3,2,,1 settled.
Proceedings under sec. 10(j): (b) Against employers,2,1,1,
Proceedings under sec. 10(l),17,11,4,1 withdrawn. 1 pending.
Total,22,14,5,3
