Division and State 1,Total,Number of elections in which representation rights were won by — AFL affiliates,Number of elections in which representation rights were won by — CIO affiliates,Number of elections in which representation rights were won by — AFL-CIO affiliates,Number of elections in which representation rights were won by — Unaffiliated unions,In which no representative was chosen,Employees eligible to vote,Total valid votes cast,Valid votes cast for — AFL affiliates,Valid votes cast for — CIO affiliates,Valid votes cast for — AFL-CIO affiliates,Valid votes cast for — Unaffiliated unions,Valid votes cast for — no union,Employees in units selecting representation
Total,4946,986,486,1430,328,1716,462712,414568,61691,56379,109704,40757,145037,291292
New England,376,84,36,120,22,124,46842,42899,8271,7264,12403,1874,13066,28682
"New England states detail (Maine, NH, VT, MA, RI, CT)",,,,,,,,,,,,,,
Middle Atlantic,884,196,81,257,64,286,92357,83371,10311,11153,24825,6759,30148,50929
East North Central,1172,208,144,347,103,365,105335,96079,14068,14771,24318,15386,29535,77702
West North Central,564,135,34,189,21,185,36697,32881,6534,3870,11078,725,1283,24159
South Atlantic,451,68,30,114,16,190,47019,43270,5003,5661,9623,1822,,21985
Continued on next page,,,,,,,,,,,,,,
