Stage and method,Number of cases,Percent of cases closed
Total number of cases closed,6264,100.0
"Before formal action, total",6254,99.8
Adjusted,5556,88.7
Consent election—authorized,4904,78.3
Consent election—not authorized,177,2.8
Stipulated election—authorized,38,.6
Stipulated election—not authorized,3,(2)
Regional director directed election—authorized,411,6.6
Regional director directed election—not authorized,23,.4
Withdrawn,627,10.0
Dismissed,68,1.1
Otherwise,3,(2)
"After formal action, total",10,.2
After notice of hearing—withdrawn,2,(2)
After hearing held—withdrawn,1,(2)
"After board decision, dismissed",1,(2)
After board ordered election—authorized,6,.1
