row_label,col_1,col_2
CHAPTER VII Injunction Litigation-Continued,CHAPTER VII Injunction Litigation-Continued,CHAPTER VII Injunction Litigation-Continued
,B Injunction Litigation Under Section 10(I)-Continued,Page
,5 Recognition and Oiganization Picketing,200
,a Constitutionality of the Section,201
,b An Object of Recognition or Organization,201
,c Effect of Alleged Unfair Labor Practice by Ernployet,202
,d Picketing Where Another Union Is the Conti act ual Rep- resentative_,202
,c Picketing Within 12 Months of Election,202
,f Other Organiration and Recognition Picketing,204
,(1) Reasonable Period of Time Which Picketing May Continue Without Filing of Election Petition,205
,(2) Necessity for Filing of Election Petition,206
,(3) Accretion to the Bargaining Unit as a Defense to Picketing,206
,(4) Publicity Proviso,206
VIII,Contempt Litigation,209
IX,Miscellaneous Litigation,211
,1 The Board's Jurisdiction,211
,a Employer on Indian Reservation,211
,b Proprietary Hospital,212
,2 The Boaid's Conti act-Bar Rules,213
,"Effect of ""Hot Cargo"" Clause",213
,b Amendment of Illegal Union-Security Clause,214
Appendix,A Statistical Tables for Fiscal Year 1961,217
CHARTS IN CHAPTER I,CHARTS IN CHAPTER I,CHARTS IN CHAPTER I
CHAR r,CHAR r,
,ULP Cases Settled,4
2,Cases Closed,6
3,Cases Decided,7
4,ULP Case Intake-Charges and Situations Filed,9
5,R and liD Case Intake-Petitions Filed,10
6,ULP Cages Pending Under Investigation-Median Pending Caseload_,11
7,Time Required To Piocess ULP Cases-Filing of of Complaint Charge to Issuance,12
8,Time Required To Process ULP Cases-Filing of Hearing Charge to Close of,13
9,Backpay Received by Discriminatees,14
10,Complaints Issued,15
11,Elections Held,16
12,Intermediate Reports Issued,20
