Division and State,All cases,All C cases,CA cases,CB cases,CC cases,CD cases,CE cases,CP cases,All R cases,RC cases,RM cases,RD cases
South Atlantic,2700,1532,1136,256,122,20,2,11,1168,1061,63,44
East South Central,1364,833,564,159,79,15,1,15,531,486,27,18
West South Central,1719,1027,731,168,79,31,3,15,692,603,39,50
Mountain,1030,591,413,95,54,11,2,16,459,365,54,40
Pacific,3540,2030,1191,464,231,54,15,75,1510,1153,228,129
California,2941,1727,992,412,200,49,14,60,1214,964,109,81
Outlying areas,740,356,287,46,16,4,2,1,384,334,30,20
