Participating unions,Total elections,Percent won by unions,Elections won by unions — Total,Elections won by unions — AFL-CIO unions,Elections won by unions — Teamsters,Elections won by unions — Other national unions,Elections won by unions — Other local unions,Elections in which no representative chosen,Employees eligible to vote — Total,Employees eligible to vote — In elections won,Employees eligible to vote — In units won by AFL-CIO,Employees eligible to vote — In units won by Teamsters,Employees eligible to vote — In units won by Other national unions,Employees eligible to vote — In units won by Other local unions,In elections in which no representative chosen
AFL-CIO [1-union RC],1856,47.8,888,888,0,0,0,968,93705,34045,34045,0,0,0,59668
Teamsters [1-union RC],891,45.0,401,0,401,0,0,490,28548,10104,0,10104,0,0,17930
Other national unions [1-union RC],84,54.8,46,0,0,46,0,38,4557,2303,0,0,2303,0,2254
Other local unions [1-union RC],220,54.1,119,0,0,0,119,101,16038,9089,0,0,0,9089,7148
1-union elections (subtotal RC),3051,47.7,1454,888,401,46,119,1597,142519,55541,34045,10104,2303,9089,86978
2-union elections (subtotal RC),180,80.0,144,59,26,8,51,36,19679,16121,6678,1876,1565,6002,3558
3 (or more)-union elections (subtotal RC),10,100.0,10,3,1,1,5,0,2727,2727,370,84,86,2187,0
Total RC elections (RC GRAND TOTAL),3241,49.6,1608,950,428,55,175,1633,164925,74389,41093,12064,3954,17278,90536
