Action taken,Total all,Employer total,Agreement of parties Informal settlement,Agreement of parties Formal settlement,Recommendation of ALJ,Order of Board,Order of Court,Union total,Agreement of parties Informal settlement,Agreement of parties Formal settlement,Recommendation of ALJ,Order of Board,Order of Court
A. By number of cases involved,2255,,,,,,,,,,,,
Notice posted,1024,792,587,17,7,123,58,232,,,,0,28
Remaining remedial-action,,,,,,,,,,,,,
