row_label,Objections filed,Objections withdrawn,Objections ruled upon,Overruled - Number,Overruled - Percent of total ruled upon,Sustained - Number,Sustained - Percent of total ruled upon
All representation elections,1199,357,842,670,79.6,172,20.4
By type of case - RC cases,1081,325,756,597,79.0,159,21.0
RM cases,29,12,17,16,94.1,1,5.9
RD cases,89,20,69,57,82.6,12,17.4
By type of election - Consent elections,29,15,14,10,71.4,4,28.6
Stipulated elections,833,251,582,459,78.9,123,21.1
Expedited elections,6,3,3,3,100.0,0,0.0
Regional director-directed elections,326,88,238,194,81.5,44,18.5
Board-directed elections,5,0,5,4,80.0,1,20.0
