Stage of disposition,All cases — Number,All cases — Number of workers involved,Cases filed by A. F. of L. affiliates — Number,Cases filed by A. F. of L. affiliates — Number of workers involved,Cases filed by C. I. O. affiliates — Number,Cases filed by C. I. O. affiliates — Number of workers involved,Cases filed by unaffiliated unions — Number,Cases filed by unaffiliated unions — Number of workers involved,Cases filed by individuals — Number,Cases filed by individuals — Number of workers involved,Cases filed by employers — Number,Cases filed by employers — Number of workers involved
Cases closed otherwise,23,9623,7,4197,13,3215,3,2211,,,,
Cases closed after court action,232,135613,89,28522,138,106242,5,849,,,,
Cases closed after court action: Cases dismissed,14,11674,5,3914,9,7760,,,,,,
Cases closed after court action: Cases closed by compliance,188,111747,70,23475,115,87873,3,399,,,,
Cases closed after court action: Cases closed otherwise,30,12192,14,1133,14,10609,2,450,,,,
"Cases pending June 30, 1941",3666,1662244,1558,387452,1649,1001594,256,161204,179,109840,21,1534
