Section / Subsection,Number of cases showing specific allegations,Percent of total cases
A. Charges filed against employers under Sec. 8(a),,
Subsections of Sec. 8(a) — Total cases,17361,100.0
8(a)(1),2160,12.4
8(a)(2),285,1.6
8(a)(3),8808,50.7
8(a)(4),97,0.6
8(a)(5),3745,21.6
8(a)(1)(2),205,1.2
8(a)(1)(4),9,0.1
8(a)(1)(5),98,0.6
8(a)(2)(3),295,1.7
8(a)(3)(4),1508,8.7
8(a)(3)(5),6,0.0
8(a)(1)(2)(3),14,0.1
8(a)(1)(2)(4),102,0.6
8(a)(1)(2)(5),41,0.2
8(a)(1)(2)(3)(4),,
8(a)(1)(2)(3)(4)(5),11,0.1
of Sec 8(a) by individual subsection,,
8(a)(1),17361,100.0
8(a)(2),716,4.1
8(a)(3),10979,63.2
8(a)(4),465,2.7
8(a)(5),5506,31.7
B. Charges filed against unions under Sec. 8(b),,
Subsections of Sec 8(b) — Total cases,9022,100.0
8(b)(1),3873,42.9
8(b)(2),208,2.3
8(b)(3),394,4.4
8(b)(4),2495,27.7
8(b)(5),5,0.1
8(b)(6),9,0.1
8(b)(7),475,5.3
8(b)(1)(2),1301,14.4
8(b)(1)(3),174,1.9
8(b)(1)(7),7,0.1
8(b)(2)(3),11,0.1
8(b)(3)(7),2,0.0
8(b)(1)(2)(3),58,0.6
8(b)(1)(2)(5),5,0.1
8(b)(1)(2)(3)(7),1,0.0
8(b)(1)(2)(3)(4),1,0.0
8(b)(1)(2)(3)(4)(6),1,0.0
8(b) — 8(b)(1) Total,5422,60.1
8(b) — 8(b)(2) Total,1587,17.6
8(b) — 8(b)(3) Total,641,7.1
8(b) — 8(b)(4) Total,2495,27.7
8(b) — 8(b)(5) Total,20,0.2
8(b) — 8(b)(6) Total,13,0.1
8(b) — 8(b)(7) Total,475,5.3
B1. Analysis of 8(b)(4) — Total cases 8(b)(4),2495,100.0
8(b)(4)(A),141,5.7
8(b)(4)(B),1640,65.7
8(b)(4)(C),26,1.0
8(b)(4)(D),627,25.1
8(b)(4)(A)(B),49,2.0
8(b)(4)(B)(C),12,0.5
8(b)(4) — 8(b)(4)(A) Total,190,7.6
8(b)(4) — 8(b)(4)(B) Total,1701,68.2
8(b)(4) — 8(b)(4)(C) Total,38,1.5
8(b)(4) — 8(b)(4)(D) Total,627,25.1
B2. Analysis of 8(b)(7) — Total cases 8(b)(7),475,100.0
8(b)(7)(A),127,26.7
8(b)(7)(B),31,6.5
8(b)(7)(C),304,64.1
8(b)(7)(A)(B),4,0.8
8(b)(7)(A)(C),1,0.2
8(b)(7)(B)(C),8,1.7
8(b)(7) — 8(b)(7)(A) Total,132,27.8
8(b)(7) — 8(b)(7)(B) Total,43,9.1
8(b)(7) — 8(b)(7)(C) Total,313,65.9
C. Charges filed under Sec. 8(e) — Total cases 8(e),104,100.0
Against unions alone,76,73.1
Against employers alone,1,0.9
Against unions and employers,27,26.0
