Affiliation of union holding union-shop contract,Number of polls — Total,Number of polls — Resulting in deauthorization — Number,Number of polls — Resulting in deauthorization — Percent of total,Number of polls — Resulting in continued authorization — Number,Number of polls — Resulting in continued authorization — Percent of total,Employees involved (number eligible to vote) — Total eligible,Employees involved — Resulting in deauthorization — Number,Employees involved — Resulting in deauthorization — Percent of total,Employees involved — Resulting in continued authorization — Number,Employees involved — Resulting in continued authorization — Percent of total,Valid votes cast — Total,Valid votes cast — Percent of total eligible,Cast for deauthorization — Number,Cast for deauthorization — Percent of total eligible
Total,34,20,58.8,14,41.2,2331,812,34.8,1519,65.2,1804,77.4,1050,45.0
AFL-CIO,27,16,59.3,11,40.7,2057,754,36.7,1303,63.3,1605,78.0,930,45.2
Unaffiliated,7,4,57.1,3,42.9,274,58,21.2,216,78.8,199,72.6,120,43.8
