row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Totals -- all types ....................................................,12,8,4,5,4,1,6,4,2,1,0,1,0,0,0
NLRB-initiated actions or interventions .................................,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
To quash district court subpoena .....................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To enforce subpoena or contempt of subpoena ...............,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To enjoin local ordinance as preempted ………………...,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
To sanction failure to respond to discovery …….............,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action by other parties ............................................................,11,8,3,4,4,0,6,4,2,1,0,1,0,0,0
To review: .............................................................................,3,2,1,2,2,0,1,0,1,0,0,0,0,0,0
Prosecutorial discretion ....................................................,3,2,1,2,2,0,1,0,1,0,0,0,0,0,0
Nonfinal/representation order ..........................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To restrain NLRB from: ........................................................,4,2,2,1,1,0,2,1,1,1,0,1,0,0,0
Enforcing Board subpoenas .............................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proceeding in R case ........................................................,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0
Proceeding in unfair labor practice case ..........................,2,0,2,0,0,0,1,0,1,1,0,1,0,0,0
To compel NLRB to: ............................................................,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Issue complaint …………………....................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Take action in R case ...……............................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comply with Freedom of Information Act (FOIA) 1 ........,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To issue decision or take specific action ..........................,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
