Standard Federal Region,All cases,All ULP cases,CA,CB,CC,CD,CE,CG,CP,All R cases,RC,RM,RD,UD,AC,UC
Region I — Connecticut,685,607,490,110,5,1,0,0,1,74,63,2,9,1,0,3
Region I — Massachusetts,1265,1100,823,217,39,18,0,3,0,142,114,9,19,8,0,13
Region I TOTAL,2392,2090,1613,399,55,22,0,5,0,257,215,15,37,14,0,31
Region II — New York,4260,3750,2778,709,147,37,3,7,26,467,407,26,55,12,0,31
Region II TOTAL,4638,4044,3077,813,168,44,3,8,29,527,456,27,59,12,3,28
Region III — Pennsylvania,2706,2318,,,,,,,,339,,,,,,
