row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
"Amusement, Gambling, and Recreation Industries...................................................",21,14,9,5,0,7,5691,4826,2866,2598,268,0,1960,4793
"Arts, Entertainment, and Recreation....",34,25,16,8,1,9,6311,5383,3184,2729,294,161,2199,5336
Accommodation........................................,34,17,8,5,4,17,2603,2164,1148,797,201,150,1016,1623
Food Services and Drinking Places..........,26,12,3,8,1,14,936,791,353,42,296,15,438,405
Accommodation and Food Services....,60,29,11,13,5,31,3539,2955,1501,839,497,165,1454,2028
Repair and Maintenance............................,40,25,19,6,0,15,886,785,401,318,79,4,384,386
Personal and Laundry Services.................,17,11,2,9,0,6,672,588,357,48,258,51,231,443
"Religious, Grantmaking, Civic, Pro- fessional, and Similar Organizations........",22,17,8,6,3,5,657,483,259,143,74,42,224,457
Other Services (except Public Administration).........................................,79,53,29,21,3,26,2215,1856,1017,509,411,97,839,1286
"Executive, Legislative, and Other General Government Support...................",2,2,1,1,0,0,19,17,14,2,12,0,3,19
"Justice, Public Order, and Safety Activities...................................................",30,29,3,16,10,1,1911,927,784,16,563,205,143,1704
Administration of Human Resource Programs...................................................,3,2,1,1,0,1,69,60,39,8,31,0,21,52
Administration of Economic Programs....,1,1,0,1,0,0,10,0,0,0,0,0,0,10
National Security and International Affairs.......................................................,1,1,0,1,0,0,100,45,38,0,38,0,7,100
Public Administration..........................,37,35,5,20,10,2,2109,1049,875,26,644,205,174,1885
"Total, all industrial groups...................",1950,1172,438,658,76,778,138034,109170,62874,24576,34604,3694,46296,88588
