Status,Total,Number of cases / Identification of petitioner Individuals,Number of cases / Identification of petitioner Employer,Number of cases / Identification of petitioner Union,Number of cases / Identification of petitioner Courts,Number of cases / Identification of petitioner State boards
"Pending July 1, 1969",2,0,1,1,0,0
Received fiscal 1970,6,2,2,2,0,0
On docket fiscal 1970,8,2,3,3,0,0
Closed fiscal 1970,6,2,2,2,0,0
"Pending June 30, 1970",2,0,1,1,0,0
