Affiliation of participating unions,Number of elections / Total,Number of elections / In which representation rights were won by — AFL-CIO affiliates,Number of elections / In which representation rights were won by — Unaffiliated unions,Number of elections / In which no representative was chosen,Number of employees involved (number eligible to vote) / Total,Number of employees involved (number eligible to vote) / In units in which representation rights were won by — AFL-CIO affiliates,Number of employees involved (number eligible to vote) / In units in which representation rights were won by — Unaffiliated unions,Number of employees involved (number eligible to vote) / In units where no representative was chosen,Total valid votes cast
Total,4729,2619,323,1787,458904,176497,88423,193984,410619
1-union elections:,,,,,,,,,
AFL-CIO,3879,2236,,1643,282748,112816,,169932,257960
Unaffiliated,256,,190,66,12639,,8882,3757,10792
2-union elections:,,,,,,,,,
AFL-CIO v. AFL-CIO,321,260,,61,48036,30591,,18345,43025
AFL-CIO v. unaffiliated,223,98,113,12,100923,20206,69495,1222,86359
Unaffiliated v. unaffiliated,9,,9,,1305,,1305,,1215
3-union elections:,,,,,,,,,
AFL-CIO v. AFL-CIO v. AFL-CIO,17,15,,2,1780,1620,,160,1547
AFL-CIO v. AFL-CIO v. unaffiliated,20,9,9,2,10095,1244,8673,178,9265
AFL-CIO v. unaffiliated v. unaffiliated,2,,2,,68,,68,,64
4-union elections: AFL-CIO v. AFL-CIO v. AFL-CIO v. AFL-CIO,2,1,,1,410,20,,390,392
