Participating unions,Total elections,Elections won by unions Percent won,Elections won by unions Total won,Elections won by unions AFL-CIO unions,Elections won by unions Teamsters,Elections won by unions Other national unions,Elections won by unions Other local unions,Elections with no representative chosen,Employees eligible to vote Total,Employees eligible In elections won,Employees in units won by AFL-CIO unions,Employees in units won by Teamsters,Employees in units won by Other national unions,Employees in units won by Other local unions,Employees in elections with no representative chosen
A. ALL REPRESENTATION ELECTIONS — Continued,,,,,,,,,,,,,,,
Total representation elections,7857,57.2,4495,2814,1262,248,171,3362,566104,292353,199770,46967,24963,20754,274111
B. ELECTIONS IN RC CASES,,,,,,,,,,,,,,,
RC 1-union,,,,,,,,,,,,,,,
1-union elections (RC subtotal),6467,55.7,3605,2201,1080,166,158,2862,390126,159429,100036,29307,6809,2395,230747
