Type of litigation,Total all courts — Number,Total all courts — Upholding Board Position,Total all courts — Contrary to Board Position,In courts of appeals — Number,In courts of appeals — Upholding Board Position,In courts of appeals — Contrary to Board Position,In district courts — Number,In district courts — Upholding Board Position,In district courts — Contrary to Board Position,In bankruptcy courts — Number,In bankruptcy courts — Upholding Board Position,In bankruptcy courts — Contrary to Board Position
Application for EAJA fees,4,4,0,3,3,0,1,1,0,0,0,0
Stale-complaint,2,1,1,2,1,1,0,0,0,0,0,0
Rule making court approval,0,0,0,0,0,0,0,0,0,0,0,0
Contents of discovery in FOIA,1,0,1,0,0,0,1,0,1,0,0,0
Other,1,1,0,0,0,0,0,0,0,0,0,0
