row_label,col_1
7-R-2808,General Motors Corp.
8-R-2427,General Motors Corp.
9-R-2660,General Motors Corp.
10-R-2216,"General Motors Corp., United Motors Service Division."
13-R-4195,General Motors Corp.
13-R-4374,General Motors Corp.
16E-R-2,"General Motors Corp., General Motors Parts Division."
16-R-2196,General Motors Corp.
17-R-1423,General Motors Corp.
17-R-1607,"General Motors Corp., General Motors Parts Division."
17-R-1622,General Motors Corp.
17-R-1748,General Motors Corp.
17-R-1782,General Motors Corp.
19M-R-55,General Motors Corp.
20-R-1774,General Motors Corp.
20-R-1958,General Motors Truck & Coach Division.
4-R-2688,General Smelting Co.
20-R-1946,Geneva Steel Co.
10-R-1951,Georgia Coating Clay Co.
10-R-1935,Georgia Kaolin Co.
2-R-6851,"Gibbs & Cox, Inc."
13-R-3821,"Gilner Mfg. Co., Inc."
9-R-2452,"Glidden Co., The Durkee Famous Foods Division."
11-R-1105,"Glidden Co., Inc."
17-R-1751,"Goodrich, B. F., Co."
8-R-2191,Goodyear Aircraft Corp.
10-R-2016,"Goodyear Clearwater Mills, Mill No. 3. 1."
10-R-2191,"Goodyear Clearwater Mills, Mill No. The."
8-R-2379,"Goodyear Tire & Rubber Co.,"
13-R-3791 21-R-$639,Goshen Sash & Door Co. Grand Central Airport Co.
7-R-2317 9-R-2412,"Grand Ledge Chair Co. Grand-Pop Bottling Co., et al."
21-R-8457,"Grant Silvers, Inc."
13-R-4284,"Great Lakes Plating Co. Greenebaum,"
13-R-3950,"J., Tanning Co., Plant No. 3. Greene Brothers Lumber Co., Inc."
5W-R-45 1-R-3559,Grinnell Pajama Co. Inc.
5W-R-80,"Guilford Hosiery Mills,"
10-R-2090,Gulf Oil Corp.
16-R-1927,Gulf Oil Corp.
16-R-2008,Gulf Oil Corp.
16-R-2054,Gulf Oil Corp.
16-R-2138,Gulf Refinery Co.
16-R-2002,Gulf Refining Co.
10-R-1997,Harris Foundry & Machine Co.
1-R-3717,Harvill New England Corp.
5-R-2713 23-R-203,"Hastings Co., The, H. B., Hastings, d/b/a. & Sheet Metal Works."
6-R4421,"Hawaiian Plumbing Heinz, H. J., Co."
,"H. J., Co."
21-R-3929,"Heinz,"
20-R-1965,"Hendry, C. J., Co."
16-R-1767,"Henson, John W. & Sons."
5W-R-78 5-R-2515,"Highland Cotton Mill. High Point Bending & Chair & Dauch Paper Co.,"
1-R-3414,"Co. Hinde The. Hinde & Dauch Paper Co.,"
,The.
8-11-2429 14-11-1630,"Hinde & Dauch Paper Co., The."
21-11-8502,"Hollywood Jr., Lillian Navis, d/b/a. Inc."
13M-R-10,"Holman Metal Stamping Co., Home Guano Co."
,Honolulu Roofing Co.
15-R-1712,
23-11-185,Honolulu Roofing Co.
23-R-189 18-11-1606,"Hough Shade Corp., The."
13-R-3809,
,Humbolt Mfg. Co.
