Action,Cases in which formal actions taken,Total formal actions taken,Formal actions taken by type of case / CA,Formal actions taken by type of case / CB,Formal actions taken by type of case / CC,Formal actions taken by type of case / CD Jurisdictional dispute,Formal actions taken by type of case / CD Unfair labor practices,Formal actions taken by type of case / CE,Formal actions taken by type of case / CP,Formal actions taken by type of case / CA combined with CB,Formal actions taken by type of case / C combined with representation cases,Formal actions taken by type of case / Other combinations
10(k) notices of hearings issued,86,,,,,86,,,,,,
Complaints issued,2039,2061,1493,171,139,,,2,12,84,117,29
Backpay specifications issued,73,82,,,,,,,,,,
"Hearings completed, total",1491,1047,713,85,56,47,,3,2,9,34,83
Hearings completed,,,,,,,,,,,,
"Decisions by trial examiners, total",1363,967,690,77,50,,,2,1,9,34,89
Decisions by trial examiners,,,,,,,,,,,,
"Decisions and orders by the Board, total",1553,1063,727,73,70,47,,2,2,12,38,77
Decisions and orders by the Board,,,,,,,,,,,,
