Participating unions,Employees eligible to vote,Percent casting valid votes,Total valid votes,Valid votes cast for AFL affiliates — Number,Valid votes cast for AFL affiliates — Percent,Valid votes cast for CIO affiliates — Number,Valid votes cast for CIO affiliates — Percent,Valid votes cast for Unaffiliated unions — Number,Valid votes cast for Unaffiliated unions — Percent,Valid votes cast for No union — Number,Valid votes cast for No union — Percent,Employees in units choosing representation
Total,9474,89.6,8485,1037,12.2,3065,36.1,219,2.6,4164,49.1,5440
A.F. of L. affiliates,2613,87.7,2292,1037,45.2,,,,,1255,54.8,1078
C.I.O. affiliates,6012,90.2,5424,,,3057,56.4,,,2367,43.6,4224
Unaffiliated unions,840,90.5,760,,,,,219,28.8,541,71.2,129
A.F. of L. affiliates—C.I.O. affiliates,9,100.0,9,1,.0,8,88.9,,,1,11.1,9
