row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
Notice posted,"27,466 3,488",2361,1528,63,6,427,307,1179,743,125,2,153,156
Recognition or other assistance withdrawn,119,119,so,a,o,17,,,,,,,
Employer-dominated union disestablished- _,37,37,22,o,o,9,6,,,,,,
Employees offered rein- statement,1029,1029,681,35,o,189,124,,,,,,
Employees placed on preferential hiring list_,143,143,116,3,o,17,7,,,,,,
Hiring hall rights re- stored,23,,,,,,,23,14,1,o,5,3
Obiections to employ- ment withdrawn,60,,,,,,,60,34,5,o,10,11
Picketing ended,746,,,,,,,746,686,23,o,16 12,21
Work stoppage ended_ _,323,,,,,,,323,299,10,o,,2
Collective bargaining,1673,1510,1196,42,2,108,162,193,156,o,o,4,3
begun Backpay distributed_ _ _,1679,1523,1177,41,4,184,121,156,101,10,o,26,36
"Reimbursement of fees, dues, and lines",417,314,234,5,,42,33,103,66,9,1,12,13
Other conditions of em- ployment improved_ _ _,1248,659,657,o,,2,o,589,576,1,o,11,1
Other remedies,6,5,1,0,,1,3,1,1,o,o,o,o
