Action taken,Total all,Employer — Total,Employer — Pursuant to — Agreement of parties — Informal settlement,Employer — Pursuant to — Agreement of parties — Formal settlement,Employer — Pursuant to — Recommendation of administrative law judge,Employer — Pursuant to — Order of — Board,Employer — Pursuant to — Order of — Court,Union — Total,Union — Pursuant to — Agreement of parties — Informal settlement,Union — Pursuant to — Agreement of parties — Formal settlement,Union — Pursuant to — Recommendation of administrative law judge,Union — Pursuant to — Order of — Board,Union — Pursuant to — Order of — Court
A. By number of cases involved,9757,,,,,,,,,,,,
Notice posted,1634,1334,1077,7,73,74,103,300,268,2,7,9,14
Recognition or other assistance withdrawn,13,13,9,0,1,0,3,,,,,,
Employer-dominated union disestablished,1,1,1,0,0,0,0,,,,,,
Employees offered reinstatement,949,949,841,5,32,29,42,,,,,,
Employees placed on preferential hiring list,23,23,16,2,1,2,2,,,,,,
Hiring hall rights restored,12,,,,,,,12,11,0,0,1,0
Objections to employment withdrawn,7,,,,,,,7,6,0,0,0,1
Picketing ended,52,,,,,,,52,51,0,0,0,1
Work stoppage ended,12,,,,,,,12,12,0,0,0,0
Collective bargaining begun,2175,2067,1979,3,17,19,49,108,108,0,0,0,0
Backpay distributed,1663,1602,1447,0,45,44,59,61,55,0,3,1,2
"Reimbursement of fees, dues, and fines",139,42,38,0,0,1,3,97,91,1,0,0,5
Other conditions of employment improved,0,0,0,0,0,0,0,0,0,0,0,0,0
Other remedies,0,0,0,0,0,0,0,0,0,0,0,0,0
