row_label,col_1,col_2,col_3,col_4
Cases decided by U. S. Circuit Court of Appeals,88,100.0,528,100.0
Board orders enforced in full,74,84.1,305,57.8
Board orders enforced with modification,8,9.1,150,28.4
Board orders set aside,6,6.8,67,12.7
Remanded to Board,o,0.0,6,1.1
Cases decided by U. S. Supreme Court,5,100.0,46,100.0
Board orders enforced in full,5,100.0,35,76.1
Board orders enforced with modification,o,0.0,8,17.4
Board orders set aside,o,0.0,2,4.3
Remanded to Board,o,0.0,1,2.2
