row_label,Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Individuals,Employers
All cases,,,,,,,
"Pending October 1, 1978",21211,8190,2418,788,766,6871,2178
Received fiscal 1979,54907,18415,6389,1326,1521,21944,5892
On docket fiscal 1979,76118,26425,8807,2114,2287,28805,7580
Closed fiscal 1979,55734,18439,6482,1554,1580,22417,7622
"Pending September 30, 1979",20324,8186,2325,760,707,6388,1938
Unfair labor practice cases,,,,,,,
"Pending October 1, 1978",16942,6107,1512,562,517,6362,1882
Received fiscal 1979,41259,12114,4154,943,757,19781,4490
On docket fiscal 1979,58201,18241,4666,1505,1274,26143,6372
Closed fiscal 1979,41544,11819,4145,945,786,20219,4630
"Pending September 30, 1979",16657,6422,1541,560,488,5924,1742
Representation cases,,,,,,,
"Pending October 1, 1978",4024,2020,898,221,244,408,244
Received fiscal 1979,12905,5879,3196,568,753,1808,779
On docket fiscal 1979,16929,7839,4094,789,966,2216,1025
Closed fiscal 1979,13465,6129,3309,593,750,1854,811
"Pending September 30, 1979",3464,1710,787,196,216,414,192
Union-shop deauthorization cases,,,,,,,
"Pending October 1, 1978",95,,,,,95,
Received fiscal 1979,330,,,,,330,
On docket fiscal 1979,426,,,,,426,
Closed fiscal 1979,328,,,,,328,
"Pending September 30, 1979",98,,,,,98,
Amendment of certification cases,,,,,,,
"Pending October 1, 1978",32,21,1,2,2,1,5
Received fiscal 1979,64,35,4,3,11,2,9
On docket fiscal 1979,96,56,5,5,13,3,14
Closed fiscal 1979,81,43,4,5,13,2,14
"Pending September 30, 1979",15,13,1,1,,1,
Unit clarification cases,,,,,,,
"Pending October 1, 1978",117,42,7,3,14,4,47
Received fiscal 1979,349,147,33,12,20,13,124
On docket fiscal 1979,466,189,40,15,34,17,171
Closed fiscal 1979,376,148,34,6,32,13,137
"Pending September 30, 1979",90,41,6,9,2,4,34
