Stage of disposition,All R cases Number,All R cases Percent,RC cases Number,RC cases Percent,RM cases Number,RM cases Percent,RD cases Number,RD cases Percent
Total number of cases closed,10981,100.0,9480,100.0,853,100.0,648,100.0
Before issuance of notice of hearing,5481,49.9,4561,48.1,510,59.8,410,63.3
"After issuance of notice of hearing, before close of hearing",3112,28.3,2797,29.5,185,21.7,130,20.1
"After hearing closed, before issuance of decision",128,1.2,111,1.2,9,1.0,8,1.2
After issuance of regional director decision,2029,18.5,1812,19.1,122,14.3,95,14.6
After issuance of Board decision,231,2.1,199,2.1,27,3.2,5,0.8
