row_label,col_1
16-R-1385,Phillips Petroleum Co.
16-R-1436 16-R-1492,Phillips Petroleum Co. Phillips Petroleum Co.
16-R-1532,Phillips Petroleum Co.
4-R-1772,Phoenix Mfg. Co.
3-R-1030,"Phoenix Toilet & Paper Mfg. Co., Inc., The."
15-R-1586,Pidgeon-Thomas Iron Co.
8-R-1885,"Pilliod Cabinet Co., The."
8-R-1916,Pioneer Steamship Co.
94?-1760,Pioneer Tool & Engineering Co.
8-R-1939,Pittsburgh Plate Glass Co.
8-R-1950,Pittsburgh Plate Glass Co.
20-R-1604,Pittsburgh Plate Glass Co.
8-R-1925,Pittsburgh Steamship Co.
15-R-1381,"Plough, Inc."
2-R-6256,"Pohs-Ring-Green, Inc.'"
13-R-3028,Poor & Co.
1-R-2509,Portland Foundry Co.
,Poster Bros.
2-RE-73,"Positive Lockwasher Co., of America."
13-R-2963,Potomac Electric Power
5-R-2076,"Potomac Edison Co., The."
5-R-1970,Co.
10-R-1772,"Potter & Rayneld, Inc. Pratt Lowe Canning Co."
20-R-1446,
21-R-2803,"Preco, Inc. Prescott, George W."
1-R-2393,"Publishing Co., Inc."
6-R-1138 10-R-1735,"Pressed Steel Car.do., Inc. Price Spindle & Flyer Co."
1-R-2433,Procter & Gamble Mfg. Co.
5-R-1922,Procter & Gamble Mfg. Co. Case & Bag Co.
13-R-3080,Progress Providence Lithograph Co.
1-R-2439,Mfg. Co.
5-R-2182,Proximity Proximity Mfg. Co.
5-11-2193,Service Co. of
,Standard Car
17-R-1223,Public Colorado. Pullman Mfg.
6-R-1133,Co. Pullman Standard Car Mfg. Co.
13-R-3122 16-R-1247,"Pure Oil Co., The."
,Puritan Mills.
10-R-1685 1-R-2543,Putnam Co.
7-11-2060,Quality Springs Quincy Lumber Co.
20-R-1479,"Products, Inc."
2-R-5479 2-11-5495,Radio Corp. of America. Radio Corp. of America. Radio Corp. of America..
4-11-1845 4-11-1869 2-R-5673,Radio Corp. of America. Receptor Co.
16-11-1633,Radio Radio Station KTHT.
,"Rainfair, Inc."
13-11-3301 20-11-1510,Raiter Canning Co.
,Raleigh Coco Cola Works.
9-R-1898,Bottling
13-R-2943,"McNally & Co. Tool Co., Inc."
3-R-997,Rand Rane
,"R. E., &"
13-11-2955 1-R-2729,"Rappeport, Sons. Raytheon Mfg. Co."
18-R-1435,Red Jacket Mfg. Co. Red Lion Tool & Co.
4-R-1798 13-R-3241,"Engineering Rennberg Jacobson Mfg. Co., Inc. Reigel Paper Corp."
4-R-1734,Reilly Tar & Chemical Co.
10-R-1640,
8-R-1922,Steamship Co.
,Reiss Reliable Electric Co.
13-11-3217,
21-R-2837,Nut Co.
,Reliable
