row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
RME g eee0)44 .,1 1,"- i,Un 44a4e","4 4,7 -.",IRM1 4.7e,R e,RWARR CO R e,,P5§ • .,g -' 4 .,9 P2 ae,",,. R .",ii e .
Op g %8 ecevi p i4.i .,R vi,2:22U 0i44vi4,R,§np -70')-e,g 06,MT5 g 6 • -; .-,3 06 .,n52 ag.,n,"g Rv. , 0440","-i ,z .",g
HP4 g,"',1 Vi",swg,:i:,7=4-,F,g - 4 - 0,§,5pg .1,,. C2 . Cr',g,§
. 44e a,"' ,75' e","M40N, &TO 'A",", 2 -7",",MR0 W° 4",g .-,. 000 0,",,-, .",mn. a,g oi,oogg m.,4,§ _ R
"r- g 1F-22§2 ,NMO 0 04 . 04iO4i",2 t- C.:,"C., , p3p -4-",V. C . oi,",'23:13 WNW",4 W .-,"F . :2R."" 2 ,6 C.■-■W , 1 .",.;,,A W e,"tigng cl,",F2 cl■,g g
c .2.0O2'820 00m..-t eeeaee,A g,c.Inps ..0 -4 e.--.:-,"..il ,.. 40",§gng 00,g e,". . g g s-g', .0,CA ,"" CO 4",s •-• e,".a, ,-- ..2. r.t- • .C , 2 ae .",N . •: e -,"CD , t , l' . . ..3., 0),<rt- 4a",CO . m 4,N 0 r. g .
g2W'P.5: mo6 -*CI eeaaee . .,", C .'' m g","6:;: g ,.(7■0° -7e0470' ) e",2 0 ;.;,"H S "" g ;140 --ae",F.' ■. e,"W e4 ,5,* Zmo6i . 4 . e ■ CO -7",:9 W e,gg3I-A r.mMW ee .,1 5 . n,"i2A gg2 o,n. a4","S r. ,,:",v g -
§ 2q H eegege .. .,g,c d4R 2. ' s 4eae. - N,R 3-,"g RiR 0)')40),.0","1? - , r: .",FIRM r: 4 CO,i vi' .,HRF_ 4444 cr,R g,"U,ER -4- -4rt:","F. ,;.,-",E -■ S
"q1.4 ' W -,,,0 -.■ R2' `g -'5",2 . Ei .,"R§1, '6 0 .6v, 4 . 0 ■ 4 ' 5g l i",m Fi,"mgg 63 2i,:,m ' 44 . 9. ■' 0 '",2 . g,"AgS q § , .,0 40- a CO",". ,,:. -.",.§ g P ee4a .,' 0 e .,"6"" g = .00 -74ee","6 , ,,:- .",R 0 g .
"' .2,N§5 E 7 14 "". .",g 4,'41F2c9V4i .,g,L';'22 .,g,"2 g 474i7, 4 '",6 .,S g 1 ; ia .),ii,Fl4nn ..,R,a 4
C ' ) 00-0)04,4,.04.0.,", 0 2,",...0,CO,04..000,",",0)21.04,g,.040 2,"F,,,",8 cq
"4 .. 0 2 '4,n.",g,"04m00,",",:,',",0.0)0,2,m.00004,",I■",og;140,S,ooc g o,"0,1",g
626R02,CO,,V °,422',g!,- 0 4274 N 4',S,06:;4' .,g,",.- .'-'",g,2 . .1-
nnngscI,§,1 Elsgmz,,262,2,0 : M44'- 74 ',3,AV2,,2:24,a,a
"c:.-,'15p cq. .",g,A6422 .,2 m,4 q Z2 .,R N,"12; 0 a- 04 7, .1",s v.,22%El .),'8-,2:268 1.,:2 CI,A .
"4R3p , r. N",2 .,"g 4 g 2R ,",8,2M-: .--. N,"A ,i■",64ARV.° 1. _,'8-,- L..1s4 r. -,"... , C,)",sgnn ..,3,tz .)
,,,,,,,,. Akg Poja <400Z,a 0,. AV2,,
