row_label,NLRB Region,Number of unfair labor practice cases received,Number of charges involving subsections of section 8 — 1,Number of charges involving subsections of section 8 — 2,Number of charges involving subsections of section 8 — 3,Number of charges involving subsections of section 8 — 4,Number of charges involving subsections of section 8 — 5,Number of charges by subsections of section 8 involved — 1 and 2,Number of charges by subsections of section 8 involved — 1 and 3,"Number of charges by subsections of section 8 involved — 1, 2 and 3","Number of charges by subsections of section 8 involved — 1, 2, 3 and 4",Number of charges by subsections of section 8 involved — 1 and 5,"Number of charges by subsections of section 8 involved — 1, 2 and 5","Number of charges by subsections of section 8 involved — 1, 2, 3 and 5","Number of charges by subsections of section 8 involved — 1, 4 and 5","Number of charges by subsections of section 8 involved — 1, 2, 4 and 5","Number of charges by subsections of section 8 involved — 1, 3, 4 and 5","Number of charges by subsections of section 8 involved — 1, 2, 3, 4 and 5"
Board,4,4,1,2,,,,,,,,,,,,,,
1. Boston,315,315,82,,,,,,,,,,,,,,,
2. New York,729,729,,,,,,,,,,,,,,,,
Total,4618,4618,3812,2008,954,668,153,813,723,271,240,7,234,87,21,1,24,17
