Division and State,All cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Representation cases / RC,Representation cases / RM,Representation cases / RD
Total,14712,4409,810,179,71,8241,518,484
New England,874,279,41,10,1,485,26,32
Maine,51,17,1,0,0,30,2,1
New Hampshire,35,10,1,1,0,21,2,0
Vermont,28,12,0,0,0,16,0,0
Massachusetts,477,156,27,8,0,258,11,25
Rhode Island,75,22,8,0,1,33,3,5
Connecticut,208,62,4,1,0,127,8,1
Middle Atlantic,2382,598,268,47,21,1329,55,64
New York,1052,210,185,31,3,573,21,29
New Jersey,615,166,28,5,8,371,26,11
Pennsylvania,815,222,54,11,10,448,8,20
East North Central,3112,870,157,35,16,1790,103,132
Ohio,799,108,44,3,2,491,28,31
Indiana,459,138,27,7,1,246,11,19
Illinois,830,259,45,15,11,440,40,39
Michigan,637,169,32,2,1,393,16,24
Wisconsin,357,95,8,7,0,220,8,19
West North Central,1352,367,46,14,0,839,37,40
Minnesota,132,30,8,0,0,90,1,3
Iowa,245,34,3,3,0,191,7,7
Missouri,590,227,33,13,0,276,16,25
North Dakota,45,3,0,0,0,39,3,0
South Dakota,18,8,0,0,0,10,0,0
Nebraska,75,22,4,1,0,44,1,3
Kansas,147,43,3,0,0,94,4,1
South Atlantic,1224,478,36,13,1,638,25,34
Delaware,22,4,0,0,0,17,1,0
Maryland,155,57,9,5,0,79,1,4
District of Columbia,70,25,6,2,0,32,1,4
Virginia,138,54,4,1,0,65,8,6
West Virginia,113,54,6,0,1,46,2,2
North Carolina,151,115,4,1,0,29,0,2
South Carolina,63,24,1,0,0,37,1,0
Georgia,206,70,5,0,0,115,5,11
Florida,223,69,3,0,0,138,5,10
East South Central,751,212,27,12,2,436,28,13
Kentucky,192,52,18,2,0,116,3,1
Tennessee,300,90,3,8,2,174,17,6
Alabama,167,44,3,1,0,106,7,6
Mississippi,92,26,3,1,0,61,1,0
West South Central,1058,294,36,6,4,595,30,43
Arkansas,158,38,1,2,0,102,5,10
Louisiana,230,75,12,1,0,129,3,10
Oklahoma,133,45,6,1,0,64,9,8
Texas,537,136,17,2,4,300,13,15
Mountain,605,202,25,9,2,307,34,26
Montana,46,17,7,0,0,14,7,1
Idaho,71,26,5,2,1,35,1,1
Wyoming,36,19,3,0,0,14,0,0
Colorado,153,58,2,0,0,73,13,7
New Mexico,94,33,0,0,0,53,5,3
Arizona,105,29,3,3,0,61,1,8
Utah,38,9,0,0,0,25,0,0
Nevada,24,2,1,0,0,17,7,1
Pacific,1939,620,141,25,12,1098,78,65
Washington,270,95,29,8,0,116,15,10
Oregon,260,78,15,5,7,126,11,13
California,1409,447,97,13,5,850,42,43
Outlying areas,485,179,34,9,0,228,13,21
Alaska,49,18,3,0,0,29,1,1
Hawaii,63,29,9,2,0,22,0,0
Puerto Rico,353,137,23,0,0,173,4,20
