row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Total,187316,169628,90.6,24978,31558,3112,109980
One-union elections.,,,,,,,
A. F. L,69863,63071,90 3,21441,,,41630
C. I. 0,77408,70011,90.5,,25513,,44542
Unaffiliated,4820,4408,91.5,,,1506,2902
Two-union elections',,,,,,,
A F. L.-C. I. 0,17946,16252,90 6,2139,4239,,9874
A. F. L.-Unaffiliated,1397,1187,85 0,238,,113,836
A. F. L.-A. F. L,724,649,89 6,284,,,365
C. I. 0 -Unaffiliated,9460,8862,93.7,,1340,945,6577
C. I 0.-C. I 0,71,68,95.8,,24,,44
Three-union elections:,,,,,,,
A. F. L.-C. I. O.-Unaffil- iated,3007,2653,85.7,110,322,529,1692
A. F. L -AFL-C.I. 0_,2301,2210,96.0,764,59,,1387
A. F. L.-A. F. L -Un- affiliated,39,36,92.3,2,,15,19
C. I. 0.-C. I. O.-Un- affiliated,190,177,93.2,,61,4,112
