Affiliation of union holding union-shop contract,Number of polls / Total,Number of polls / Resulting in deauthorization / Number,Number of polls / Resulting in deauthorization / Percent of total,Number of polls / Resulting in continued authorization / Number,Number of polls / Resulting in continued authorization / Percent of total,Employees involved (number eligible to vote) / Total eligible,Employees involved (number eligible to vote) / In polls Resulting in deauthorization / Number,Employees involved (number eligible to vote) / In polls Resulting in deauthorization / Percent of total,Employees involved (number eligible to vote) / In polls Resulting in continued authorization / Number,Employees involved (number eligible to vote) / In polls Resulting in continued authorization / Percent of total,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for deauthorization / Number,Valid votes cast / Cast for deauthorization / Percent of total eligible
Total,87,54,62.1,33,37.9,8652,5842,67.5,2810,32.5,6371,73.6,4353,50.3
AFL-CIO unions,53,31,58.5,22,41.5,6969,5333,76.5,1636,23.5,5068,72.7,3902,56.0
Teamsters,24,17,70.8,7,29.2,551,336,61.0,215,39.0,426,77.3,287,52.1
Other national unions,7,3,42.9,4,57.1,1067,108,10.1,959,89.9,818,76.7,105,9.8
Other local unions,3,3,100.0,0,,65,65,100.0,0,,59,90.8,59,90.8
