Stage and method of disposition,All C cases / Number of cases,All C cases / Percent of cases closed,CA cases 1 / Number of cases,CA cases 1 / Percent of cases closed,CB cases 1 / Number of cases,CB cases 1 / Percent of cases closed,CC cases 1 / Number of cases,CC cases 1 / Percent of cases closed,CD cases 1 / Number of cases,CD cases 1 / Percent of cases closed
Total number of cases closed,11465,100.0,7825,100.0,2902,100.0,525,100.0,213,100.0
Before issuance of complaint,10653,93.0,7357,94.0,2723,93.8,405,77.3,199,93.4
Adjusted (Before issuance of complaint),1238,10.8,800,10.3,300,10.3,83,15.8,55,25.8
Withdrawn (Before issuance of complaint),5299,46.2,3332,42.6,1421,49.0,263,50.1,92,43.2
Dismissed (Before issuance of complaint),4116,35.9,3015,38.5,1002,34.5,85,16.2,52,24.4
"After issuance of complaint, before opening of hearing",335,2.9,195,2.5,82,2.8,49,9.3,9,4.2
"After hearing opened, before issuance of intermediate report",78,.7,47,.6,22,.8,9,1.7,0,.0
"After intermediate report, before issuance of Board decision",49,.4,35,.5,7,.2,6,1.2,1,.5
After Board order adopting intermediate report in absence of exceptions,29,.2,22,.3,3,.1,4,.8,0,.0
"After Board decision, before court decree",182,1.6,108,1.4,37,1.3,36,6.9,1,.5
Method,,,,,,,,,,
