Method and stage of disposition,All C cases Number,All C cases Percent of total method,CA cases Number,CA cases Percent of total closed,CB cases Number,CB cases Percent of total closed,CC cases Number,CC cases Percent of total closed,CD cases Number,CD cases Percent of total closed,CE cases Number,CE cases Percent of total closed,CG cases Number,CG cases Percent of total closed,CP cases Number,CP cases Percent of total closed
Total number of cases closed,33450,100.0,23180,100.0,8266,100.0,1320,100.0,323,100.0,55,100.0,20,100.0,266,100.0
Agreement of the parties,9735,29.1,6654,28.7,1532,18.5,655,49.6,6,1.8,17,22.6,10,50.0,88,33.9
Informal settlement,9483,28.3,7375,31.8,1356,16.4,639,48.4,4,1.2,12,22.6,10,50.0,85,32.8
Informal settlement — Before issuance of complaint,6624,19.8,5108,22.0,896,11.9,470,35.6,,,8,10.6,50,12.8,52,19.5
"Informal settlement — After issuance of complaint, before opening of hearing",2778,8.3,2203,9.5,364,4.4,169,12.8,3,0.9,0,0.0,6,30.0,33,12.4
"Informal settlement — After hearing opened, before issuance of ALJ decision",71,0.2,64,0.3,5,0.1,0,0.0,1,0.3,1,0.0,0,0.0,0,0.0
Formal settlement,252,0.8,177,0.8,31,0.6,16,1.2,2,0.6,5,0.0,0,0.0,3,1.1
Compliance with — Administrative law judge's decision,912,2.7,694,2.9,187,2.2,26,2.0,0,0.0,0,0.0,0,0.0,5,1.8
Stipulated decision + Consent decree + After-hearing-opened,,,,,,,,,,,,,,,,
