row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
- 23 g .-,,WO,"-W ,51","oo n uti- .-to,-.4..8","2- , 4 0",080g,,"m.11E1 N..,,.-,",.7. A,- HRH,"t -, t5","2-.Co NNW WW%-slol-, nn,a!s55"
t _ §,- -Cn Z2,- iiWroW 00W0,"., F2 M",m '6'ioDiEE,,nintiR,,,to,".:-.. gh.,z5",- _ s,to to to HEE.:Al
". , V ..",", &",liag,. E,". -. -. ... ..',,",. _ .,- -. Rszs-.;n,.... . R,"..- .-com,-. 11.72''w",", g",_ Om.m. =ttR8,. g,"1 ,, ,-m -.- g . .M88"
"co , 42 8",&I,k g:It,"';' , ,7",N EMgMg,m 8,8Nm.-gE,E,CAtN,o. t,"14g SaS"" ot","tv g ,-.",asEtla
-. s,- n,sm.n,00 8,s.nEt,s,.-..v' G .,1-• I:,,,%TN.-5.-,E,mEtii i
",-,1",n,n.-_,n,-. . -s,c-:.,..000MM,g,,,,i,__._. .......
E,CO,.-moo,8,an 000 CO,CO,00000W,"r,",00100,m,.+A.M0,n,-...-8
s,,,v,...u-,,,,0000,0,00000,an,m00 W00
g,t,581.' 8,N,5oop g 8,8,.0.--..anm,t,W MmWA,-4,ONAo..0,g,"W55,WS"
g,g,"tg,01","Is,",",..",,88ggei,@,ONE,E,Rs3tEs,iv E,HM5
,E,N'-' m,:7.. .-,.- -... g.-.o.o.,m R,8RE8&4,E,olco8 moo,t .-,htnt,m s,EEVAH
.. g,%,"Wm o- , 010110 -a",to R,"v ,OW,M","m ,",.-01WMOI0.,"w ,-,","01.---7,M",R,c(75005,_ g,Co!.22g5t
2- co,m CO,",--, 0000.51-.",,". w 00M.,-.","4,","0 -4WC0 1 . - , Cn",g,1-cnM .07.-..,",_. .. m",EN-oV8,R,g8t4gg
co o .-,vc o,58com,E,01 oom.-.o,m,0000mo,8,".. 0,000",A,"OW0,-.0",,WC7Wg8t
•4 m,,"...moo-,","o... ,-.","0000..,",0,000000,"o-,",0001.-.,".... ,-.",W«.......0,C7,
E,n,25-.,E,.E. . ...,,,,_ . -..,,z....,. CO,"rptgWr A,"
