row_label,Participating unions,Total valid votes in election,Valid votes cast in elections won / Total,Valid votes cast in elections won / AFL-CIO,Valid votes cast in elections won / Teamsters,Valid votes cast in elections won / Other national unions,Valid votes cast in elections lost / Other local unions,Valid votes for unions / Total,Valid votes for unions / AFL-CIO,Valid votes for unions / Teamsters,Valid votes for unions / Other national unions
All representation elections breakdown by union affiliation,,,,,,,,,,,
