Participating unions,Total elections,Elections won by unions / Per cent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO,Elections won by unions / Other national unions,Elections won by unions / Other local unions,Elections in which no representative chosen,Employees eligible to vote / Total,Employees eligible to vote / In unions won by,Employees eligible to vote / AFL-CIO,Employees eligible to vote / Other national unions,Employees eligible to vote / Other local unions,In elections where no representative chosen
D. Elections in RD cases,,,,,,,,,,,,,
AFL-CIO,461,33.5,150,150,,,311,20156,9743,9743,,,10413
Other national unions,9,66.7,6,,6,,3,720,632,,632,,88
Other local unions,17,41.2,7,,,7,10,934,167,,,167,767
1-union elections,487,33.5,163,150,6,7,324,21547,10542,9743,632,167,11005
2-union elections,6,83.3,5,3,1,1,1,388,371,261,27,83,17
Total RD elections,493,34.1,168,153,7,8,325,21935,10913,10004,659,250,11022
