row_label,Number of cases showing specific allegations,Percent of total cases
A. Charges filed against employers under Sec. 8(a),,
Subsections of Sec. 8(a):,,
Total cases,17733,100.0
8(a)(1),1831,10.3
8(a)(2),328,1.9
8(a)(3),8964,50.5
8(a)(4),228,1.3
8(a)(5),4225,23.8
8(a)(1)(2),201,1.1
8(a)(1)(3),3,
8(a)(1)(4),88,0.5
8(a)(1)(5),291,1.6
8(a)(2)(3),1531,8.6
8(a)(2)(5),6,
8(a)(3)(4),10,0.1
8(a)(3)(5),112,0.6
8(a)(1)(2)(3),5,
8(a)(1)(2)(5),6,
8(a)(1)(3)(4),36,0.2
8(a)(1)(3)(5),19,0.1
8(a)(1)(2)(3)(4)(5),,
8(a)(1),17733,100.0
8(a)(2),766,4.3
8(a)(3),11164,63.0
8(a)(4),452,2.5
8(a)(5),6023,34.0
B. Charges filed against unions under Sec. 8(b),,
Subsections of Sec. 8(b):,,
Total cases,9030,100.0
8(b)(1),3522,39.0
8(b)(2),228,2.5
8(b)(3),353,4.3
8(b)(4),2596,28.7
8(b)(5),7,0.1
8(b)(6),14,0.2
8(b)(7),449,5.0
8(b)(1)(2),1572,17.4
8(b)(1)(3),165,1.8
8(b)(1)(4),1,
8(b)(1)(5),3,
8(b)(1)(6),,
8(b)(1)(7),2,
8(b)(2)(3),2,
8(b)(2)(5),2,
8(b)(3)(5),62,0.7
8(b)(1)(2)(3),1,
8(b)(1)(2)(5),1,
8(b)(1)(3)(5),1,
8(b)(1),5340,59.1
8(b)(2),1882,20.8
Continued,,
8(b)(3),622,6.9
8(b)(4),2596,28.7
8(b)(5),26,0.3
8(b)(6),22,0.2
8(b)(7),449,5.0
B1. Analysis of 8(b)(4),,
Total cases 8(b)(4),2596,100.0
8(b)(4)(A),64,2.5
8(b)(4)(B),1806,69.5
8(b)(4)(C),8,0.3
8(b)(4)(D),626,28.0
8(b)(4)(A)(B),59,2.3
8(b)(4)(A)(C),2,0.1
8(b)(4)(B)(C),6,0.2
8(b)(4)(A)(B)(C),2,0.1
8(b)(4)(A),127,4.9
8(b)(4)(B),1873,72.1
8(b)(4)(C),18,0.7
8(b)(4)(D),649,25.0
B2. Analysis of 8(b)(7),,
Total cases 8(b)(7),449,100.0
8(b)(7)(A),137,30.5
8(b)(7)(B),16,3.6
8(b)(7)(C),291,64.9
8(b)(7)(A)(B),4,0.2
8(b)(7)(A)(C),1,0.2
8(b)(7)(B)(C),1,0.2
8(b)(7)(A),141,31.4
8(b)(7)(B),19,4.2
8(b)(7)(C),293,65.7
C. Charges filed under Sec. 8(e),,
Total cases,88,100.0
Against unions alone,65,76.5
Against employers alone,3,3.5
Against unions and employers,18,20.0
