Action taken,Total all,Remedial action taken by — Employer — Total,Remedial action taken by — Employer — Pursuant to — Agreement of parties — Informal settlement,Remedial action taken by — Employer — Pursuant to — Agreement of parties — Formal settlement,Remedial action taken by — Employer — Pursuant to — Recommendation of administrative law judge,Remedial action taken by — Employer — Pursuant to — Order of — Board,Remedial action taken by — Employer — Pursuant to — Order of — Court,Remedial action taken by — Union — Total,Remedial action taken by — Union — Pursuant to — Agreement of parties — Informal settlement,Remedial action taken by — Union — Pursuant to — Agreement of parties — Formal settlement,Remedial action taken by — Union — Pursuant to — Recommendation of administrative law judge,Remedial action taken by — Union — Pursuant to — Order of — Board,Remedial action taken by — Union — Pursuant to — Order of — Court
Accepted (reinstatement offer),2790,2790,2471,0,56,171,112,,,,,,
Declined (reinstatement offer),706,706,631,0,8,22,89,,,,,,
Employees receiving backpay — From either employer or union,31074,30784,26817,350,1011,1040,1566,290,170,0,5,3,112
Total monetary remedies,207129262,206608766,182113581,1386856,1222518,6700027,15185784,520516,328940,0,75345,116231,0
"Backpay (includes all monetary payments except dues, fees, and fines)",205352374,205352374,180891816,1386856,1222518,6673644,15178540,360923,169392,0,75345,116231,0
"Reimbursement of fees, dues, and fines",1415983,1256392,1221725,0,0,24383,10284,159591,159591,0,0,0,0
