Participating unions,Total valid votes cast,Votes won Total,Votes won AFL-CIO,Votes won Teamsters,Votes won Other national,Votes won Other local,Votes won No union,Votes lost Total,Votes lost AFL-CIO,Votes lost Teamsters,Votes lost Other national,Votes lost Other local,Votes lost No union
Total RD elections,11173,3466,3468,905,1082,11,1341,1089,802,166,21,0,3677
1-union elections (subtotal),8167,2569,1917,300,349,0,1415,1065,802,166,0,0,3077
1-union,,,,,,,,,,,,,
2-union elections (subtotal),2246,2148,1342,164,631,11,118,0,,,,,
2-union,,,,,,,,,,,,,
3 (or more)-union elections (RD),760,752,209,441,102,,,,,,,,
3-or-more union,,,,,,,,,,,,,
