Participating unions,Total elections,Percent won,Elections won by unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Elections in which no representative was chosen,Employees eligible — Total,Employees eligible — AFL-CIO,Employees eligible — Teamsters,Employees eligible — Other national,Employees eligible — Other local,Employees eligible — no rep
Total RC elections (held + concluded),7643,,,,,,,,458302,,,,,295166
1-union elections — AFL-CIO,3862,52.6,2030,2030,,,,1832,,,,,,
2-union elections — AFL-CIO v AFL-CIO,671,78.7,,,,,,,,,,,,
