Stage,Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
RC cases — section header,,,,,,,
"Pending July 1, 1965 (RC)",2170,1356,526,132,155,1,
Received fiscal 1966 (RC),10820,6627,3193,666,328,6,
On docket fiscal 1966 (RC),12990,7983,3719,798,483,7,
Closed fiscal 1966 (RC),10687,6461,3187,639,393,7,
"Pending June 30, 1966 (RC)",2303,1522,532,159,90,0,
RM cases — section header,,,,,,,
"Pending July 1, 1965 (RM)",255,,,,,,255
Received fiscal 1966 (RM),1149,,,,,,1149
On docket fiscal 1966 (RM),1404,,,,,,1404
Closed fiscal 1966 (RM),1160,,,,,,1160
"Pending June 30, 1966 (RM)",244,,,,,,244
RD cases — section header,,,,,,,
"Pending July 1, 1965 (RD)",101,1,0,0,1,99,
Received fiscal 1966 (RD),651,9,0,1,1,640,
On docket fiscal 1966 (RD),752,10,0,1,2,739,
Closed fiscal 1966 (RD),640,5,0,1,2,632,
"Pending June 30, 1966 (RD)",112,5,0,0,2,107,
