Case No.,Union and respondent,Date petition filed,Type of petition,Temporary restraining order date issued,Temporary restraining order date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings withdrawn or dismissed,Date Board decision and/or order
5-CC-20,"AFL-Baltimore Building & Construction Trades Council & Local 16, et al. (John A. Piezonki/d/b/a Stover Steel Service).","Apr. 23, 1953",10(l),,,,,(2),
"3-CC-26, 28, 29, 34","AFL-Electrical Workers, Locals 79, 181, 88 and 1265 (Utica Builders Exchange).","Apr. 24, 1953",10(l),,,,,,
5-CC-30,"AFL-Teamsters, Local 730 (Washington Coca-Cola Bottling Works, Inc. and Buckingham Supermarket, Inc.).","Apr. 24, 1953",10(l),,,"May 7, 1953",,,
2-CC-80,"AFL-Teamsters, Local 80 (Norfolk Water Paper Co.).","Apr. 28, 1953",10(l),,,,,(2) (3),
13-CC-37,"Distributive, Processing & Office Workers of America, Local 65 (Poultrymen's Service Corp.).","Apr. 28, 1953",10(l),,,,,,
"14-CC-44, 45","AFL-Teamsters, Local 600, Locals 632 and 688 (Iversis Foods, Inc. & Atkings Pickles).","Apr. 29, 1953",10(l),,,,"June 24, 1953",,
14-CC-47,"AFL-Longshoremen, Local 1422 (James Doran Co. et al.).","May 1, 1953",10(l),,,"May 11, 1953",,,
"2-CC-127, 158","Food Processors, Packers, Warehousemen & Clerical Employees, Local 247, et al. (Crowley's Milk Co.).","May 4, 1953",10(l),,,"May 27, 1953",,,
18-CC-15,"United Mine Workers of America, District 50 and Local 12106 (Minnesota Linseed Oil Co.).","May 8, 1953",10(l),,,,"June 10, 1953",,
13-CC-47,"AFL-Teamsters, Local 200 (Reilly Cartage Co.).","May 12, 1953",10(l),,,,,,
6-CC-39,AFL-Building and Construction Trades Council of Pittsburgh and Vicinity et al. (Perry Electric Co.).,"May 22, 1953",10(l),,,,,,
14-CC-42,"AFL-Teamsters, Local 42 (Wisco Hardware Co.).","June 1, 1953",10(l),"June 8, 1953","June 11, 1953",,,,
36-CD-17,"International Longshoremen's & Warehousemen's Union, Local 12 (Upper Columbia River Towing Co. et al.).","June 1, 1953",10(l),,,,,,
"2-CC-21, 32","AFL-Teamsters, Local 182 and Carpenters Local 125 (Jay-K Independent Lumber Corp.).","June 2, 1953",10(l),,,,,,
