Types of remedy,Total,Identification of complainant / A. F. of L. affiliates,Identification of complainant / C. I. O. affiliates,Identification of complainant / Unaffiliated unions,Identification of complainant / Individuals
Cases,,,,,
Notice posted,636,223,111,107,195
Company union disestablished,23,10,3,4,6
Workers placed on preferential hiring list,89,19,11,10,49
Collective bargaining begun,200,101,40,57,2
Workers,,,,,
Workers reinstated to remedy discriminatory discharge,1139,375,190,206,368
Workers receiving back pay,1478,432,308,398,340
Back-pay awards,"$315,060","$73,690","$64,380","$28,940","$148,050"
