NLRB Region,Total number of cases on docket,Total number of cases closed during fiscal year,Cases closed before formal action — Total,Cases closed before formal action — Settled — Consent election,Cases closed before formal action — Settled — Recognition of representatives,Cases closed before formal action — Settled — Pay-roll check,Cases closed before formal action — Dismissed,Cases closed before formal action — Withdrawn,Cases closed before formal action — Otherwise closed before formal action,Cases closed after formal action — Total,Cases closed after formal action — Before Board decision (multiple settlement / dismissal / withdrawal cells),Cases closed after formal action — After Board decision — Certification,Cases closed after formal action — After Board decision — Dismissed,Cases closed after formal action — Otherwise closed after formal action,"Cases pending end of fiscal year (Jun 30, 1940)"
1. Boston,157,127,107,48,,,,,,30,,,,,30
Total,3464,2690,,,,,,,,,,,,,754
