row_label,Division and State,Total elections,Total won,AFL-CIO unions,Teamsters,Other national unions,Other local unions,No representative chosen,Number of employees eligible to vote,Total valid votes cast,Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total votes for no union,Eligible employees in units choosing representation
South Atlantic,955,497,315,129,33,20,458,103450,93209,53541,34235,8547,5816,2377,12101,29632,51046
East South Central,534,264,151,81,22,10,270,47798,43657,21841,15817,3790,1788,458,21816,18478,
West South Central,631,337,227,83,10,17,294,43797,39316,21012,15416,2338,2411,847,18304,19801,
