Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO unions won,Teamsters won,Other national unions won,Other local unions won,Number of elections in which no representative chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total valid votes cast for no representation,Eligible employees in elections choosing no representation
New England — Division subtotal (RC),257,110,82,23,0,9,154,15389,13374,4659,3202,1033,18,411,6549,6795
Middle Atlantic — Division subtotal (RC),836,393,227,134,0,32,414,49757,44189,20674,16062,1888,178,1179,18059,13933
East North Central — Division subtotal (RC),814,380,277,80,4,21,396,19283,16065,9277,7377,1159,200,1073,7807,7800
West North Central — Division subtotal (RC),207,92,75,19,1,6,113,13389,9247,4343,,,,,,
