row_label,col_1,col_2,col_3
"Acme Air Appliance Co., Inc","Mar. 10,1938 Jan. 10,1938","Mar. 15,1938 Jan. 14,1938 Mar. 5,1938","Jan. 25, 1939 Sept. 8,1938"
Aeolian American Corporation,,,
Aero American Co,"Feb. 28,1938",,"Mar. 16,1939'"
"A. H. Win, Inc","Jan 31,1938","Feb. 4, 1938","Oct. 25,1938"
"Alba Twine Mills, Inc","Feb. 7,1938","Feb. 8, 1938",
American Chain &Cable Co,"Apr. 18,1938","Apr. 21,1938",
American Hawaiian Steamship Co American Numbering Machine Co,"Aug. 19, 1937 Feb. 3,1938","Aug. 19, 1937 Feb. 14,1938","Jan. 21, 1939 Dec. 13,1938"
American Oil Co,"Apr. 14,1938","Apr. 21,1938",(9
American Petroleum Co,"Sept. 13,1937","Sept. 29, 1937","May 4,1939"
American Rolling Mill Co,"June 27,1938","May 27,1939",(9
,,"June 15,1938",(9
American West African Lines,"Apr. 21, 1938",,(4)
Andrew Jergens Co. of California,"Jan 11,1938","Apr. 8,1938",
Anderson Mattress Co,"Apr. 21,1938","Apr. 27,1938",
Appalachian Mills,"Apr. 25,1938","May 7,1938",4)
Arcadia Hosiery Co,"Apr. 11,1938","Apr. 20,1938","Apr. 27,1939"
,,"Mar. 30,1938","Apr. 15,1939"
"Arcade-Sunshine Co., Inc Armour and Co","?far. 22,1938 Feb. 7,1938","Feb. 10,1938","Nov. 29, 19313"
Do,do,do,Do.
,,do,
Do,"do Mar. 31,1938","Apr. 11,1938","Do. Sept. 15,1938"
Do Asheville Hosiery Co,"Jan 11,1938","Jan. 22,1938","Mar. 29,1939"
Athens Stove Works,"May 5,1938","May 6,1938",(4)
Atlantic Greyhound Corporation,"Mar. 10, 1938","Mar. 24, 1938","Feb. 25, 1939"
Atlas Powder Co,"June 23,1938","June 30,1938",(9 (4)
"Auburn Foundry, Inc","7,1938","Apr. 15, 1938",
Automotive Maintenance Machinery Co,"Apr. Feb. 28,1938","Mar. 9,1938","June 21,1939"
Baer-Wilde Mfg. Co,"Dec. 9, 1937","Dec. 15,1937","Oct. 19,1938"
Bank of America,"27,1938","July 6,1938",
B. Boehes-L. E. Busch,"June Feb. 21,1938","Feb. 24,1938",
Bennett-Hubbard Candy Co,"Feb. 17,1938","Feb. 23,1938","Mar. 13,1939"
Bercut-Richards Peeking Co. et al and California Processors,,,
,"Apr. 11,1938","Sept. 8,1038",
"di Growers, Inc Berkey dt Gay Furniture Co","Jan. 17,1938","Feb. 11,1938 June 3,1938","Feb. 15,1939 Feb."
Bethlehem Shipbuilding Corporation,"Mar. 21,1938","June 23,1938","10,1939 Do."
Bethlehem Shipbuilding Co,do,"Sept. 8,1938",
B. H. Body Co. et al Blanton Co,"Apr. 11, nyas Jane 16, 1938","June 21,1938",
Block-Friedman Co,"Sept. 30,1937","Nov. 3,1937",4
Boldemann Chocolate Co,"Jane 20,1938","June 22,1938",4
"Borden Mills, Inc","Dec. 13, 1937",Jan.,(4
Boyertoun Burial Casket Co,"June 26, 1936","14,1938 June 26,1936",
Boynton dz Co,"Feb. 8,1938","Feb. 12,1938","Apr. 12,1939"
Brashear Truck Co,"Jan. 17, 1938","Jan. 20,1938","June 10,1939"
Brazil Mfg. Breeze Corporation,"Apr. 4,1938","Apr. 6,1938","Dec. 13,1938 Jan. 16,1939"
,"Mar. 17,1938","Mar. 23,1938 Feb. 25, 1938","Apr. 4,1939"
"Brown Paper Mill Co., Inc","Feb. 10, 1938",,
Do,do,"do Mar. 9, 1938",Do.
Burgess Battery Co,"Mar. 3,1938",,(4)
Burlington Dyeing St Finishing Co,"Mar. 17,1938","Mar. 19,1938 Apr. 23, 1938","Dec. 1, 1938"
Burson Knitting Co,"Apr. 21,1938",,
Bussman Mfg. Co,"May 6,1938 Oct. 21, 1937","May Nov. 23,1937","Mar. 15, 1939"
Byron-Jackson Co,"Sept. 8, 1937","13,1938 Sept. 30, 1937",
Calco Chemical Co. (American Cyanamid Co.),,,(9
"California Conserving Co., Inc., et al California Package Corporation",Apr. 10938,Sept.,
,do,"8,1938 do",44 1
California Package Corporation et al,do,do,( 7 )
California Sanitary Canning Co,"Feb. 7, 1938","Mar. 8,",(4)
California Walnut Growers Association,"Mar. 3,1938","1938 May 19,1938",
,,,(9
Calumet Steel Co,"May 12, 1938","May 13,1938",(4)
,,"Apr. 4,1938",
Capitol Bedding Co,"Apr. 1,1938","Dec. 16,1937",Feb.
Carolina Marble &Granite Works,"Dec. 15, 1937",,
,,,"14,1939"
