row_label,Participating unions,Total valid votes cast,Valid votes cast in election won / Total,Valid votes cast in election won / AFL-CIO,Valid votes cast in election won / Teamsters,Valid votes cast in election won / Other national unions,Valid votes cast in election won / Other local unions,Valid votes cast in election won / Vote for no union,Valid votes cast in election lost / Total,Valid votes cast in election lost / AFL-CIO,Valid votes cast in election lost / Teamsters,Valid votes cast in election lost / Other national unions,Valid votes cast in election lost / Other local unions,Valid votes cast in election lost / Vote for no union
AFL-CIO v. AFL-CIO v. AFL-CIO v. Teams. v. Local,155,16,108,,,,,,,,,,,
3(or more)-union elections,10239,9165,3256,857,2163,2849,202,360,286,45,29,0,512,
Total RC elections,491279,200473,112760,24498,26115,37112,45035,86605,60064,12554,12548,1099,158606,
C. ELECTIONS IN RM CASES (section header),,,,,,,,,,,,,,
1-union elections,12962,5715,2178,1162,297,78,,1767,1757,331,439,5,5045,
1-union breakdown,,,,,,,,,,,,,,
2-union elections,3337,1456,1016,270,27,143,49,704,589,115,0,0,1128,
2-union,,,,,,,,,,,,,,
Total RM elections,16199,5171,3194,1432,324,221,1719,3236,2346,446,439,5,6178,
