row_label,col_1,col_2,col_3,col_4
Cases decided by United States courts of appeals,88,100 0,873,100 0
Board orders enforced in full,*57,64 8,525,60 1
Board orders enforced with modification,14,15 9,211,24.2
Board orders set aside,15,17 0,120,13.7
Remanded to Board,2,23,17,20
,,,66,
Cases decided by U S. Supreme Court,4,100 0,,100 0
Board orders enforced mfull,3,75 0,48,72.7
Board orders enforced with modification,,,11,16.7
Board orders set aside,,25.0,3,46
Remanded to Board,,,1,1.5
Remanded to court of appeals,,,2,3.0
Board's request for remand or modification of en- forcement orders denied,,,1,1.5
