row_label,Total proceedings,"Injunction proceedings / Pending in district court Oct. 1, 1995",Injunction proceedings / Filed in district court fiscal year 1996,Injunction proceedings / Total dispositions,Disposition of injunctions / Granted,Disposition of injunctions / Denied,Disposition of injunctions / Settled,Disposition of injunctions / Withdrawn,Disposition of injunctions / Dismissed,Disposition of injunctions / Inactive,"Pending in district court Sept. 30, 1996"
Under Sec. 10(e) total,2,0,2,2,1,1,0,0,0,0,0
Under Sec. 10(j) total,49,11,38,44,24,6,13,1,0,0,5
8(a)(1),1,0,1,1,1,0,0,0,0,0,0
8(a)(1) 8(a)(3),2,1,1,2,0,1,1,0,0,0,0
8(a)(1)(2) 8(a)(3) 8(b)(1)(A) 8(b)(2),2,1,1,2,1,0,1,0,0,0,0
8(a)(1)(3) 8(b)(1)(A) 8(b)(2),1,0,1,1,1,0,0,0,0,0,0
8(a)(1)(3),18,3,15,17,8,1,7,1,0,0,1
8(a)(1)(5),1,0,1,1,0,1,0,0,0,0,0
8(a)(3)(5),13,6,7,11,8,3,0,0,0,0,2
8(a)(5),7,1,10,9,6,0,3,0,0,0,2
Under Sec. 10(l) total,26,7,19,18,5,0,9,2,1,1,8
8(b)(1),1,0,1,1,1,0,0,0,0,0,0
8(b)(4),1,0,1,1,0,0,1,0,0,0,0
8(b)(4)(B),1,0,1,1,1,0,0,0,0,0,0
8(b)(4)(i)(B),11,3,8,7,2,0,4,0,0,1,4
8(b)(4)(ii)(B),5,1,4,4,0,0,3,0,1,0,1
8(b)(4)(B) 8(e),3,1,2,2,0,0,0,2,0,0,1
8(b)(7)(A),1,1,0,0,0,0,0,0,0,0,1
8(b)(7)(C),3,1,2,2,1,0,1,0,0,0,1
