Stage and method of disposition,All C cases 1 / Number of cases,All C cases 1 / Percent of cases closed,CA cases 1 / Number of cases,CA cases 1 / Percent of cases closed,CB cases 1 / Number of cases,CB cases 1 / Percent of cases closed,CC cases 1 / Number of cases,CC cases 1 / Percent of cases closed,CD cases 1 / Number of cases,CD cases 1 / Percent of cases closed
Total number of cases closed,5619,100.0,3841,100.0,1245,100.0,384,100.0,149,100.0
Before issuance of complaint,5030,89.5,3457,90.0,1111,89.2,313,81.5,149,100.0
Adjusted,562,10.0,282,9.0,152,12.2,13,,115,77.2
Withdrawn,2379,42.3,1574,41.0,459,36.9,320,33.3,24,16.1
Dismissed,2065,36.8,1457,38.0,471,37.8,116,30.2,21,14.1
Otherwise,24,,14,,7,,3,,0,0
"After issuance of complaint, before opening of hearing",145,2.6,71,1.8,33,2.7,41,10.7,0,0
After-complaint method,,,,,,,,,,
"After hearing opened, before issuance of intermediate report",32,.6,16,.4,8,.7,8,2.1,0,0
"After intermediate report, before issuance of Board decision",25,.5,17,.5,6,.5,2,.5,0,0
After Board order adopting intermediate report in absence of exceptions,24,.4,21,.6,3,.2,0,.0,0,0
"After Board decision, before court decree",198,3.5,147,3.8,39,3.1,12,3.1,0,0
Continued on p0183,,,,,,,,,,
