row_label,Industrial group,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Representation cases / UD,Union deauthorization cases / AC,Amendment of certification cases / UC
Food and kindred products,2491,1861,1304,172,40,15,2,0,6,,625,512,16,57,3,2,19
Manufacturing (total),23038,17412,12381,4553,347,65,11,0,98,,5273,4367,208,698,122,36,134
