Participating unions,Employees eligible to vote,Percent casting valid votes,Total valid votes cast,Valid votes cast for union shop by affiliation of petitioner — A.F. of L. affiliates — Number,A.F. of L. affiliates — Percent,C.I.O. affiliates — Number,C.I.O. affiliates — Percent,Unaffiliated unions — Number,Unaffiliated unions — Percent,Valid votes cast against union shop — Number,Valid votes cast against union shop — Percent,Employees in units authorizing union shop
Total,1623375,82.3,1335683,253637,19.0,826269,61.9,84237,6.3,171540,12.8,1585881
A.F. of L. affiliates,323382,86.3,279002,253637,90.9,,,,,25365,9.1,309484
C.I.O. affiliates,1181731,81.0,957772,,,826269,86.3,,,131503,13.7,1162209
Unaffiliated unions,118262,83.6,98909,,,,,84237,85.2,14672,,114188
