row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections,4642,433,93,173,37,III,24,544,11 7,284,6 1
By type of case,,,,,,,,,,,
In RC cases,"3,6C83",372,103,138,38,92,26,464,129,230,64
In RM cases,171,12,70,8,47,8,47,20,117,16,94
In RD cases,871,49,56,27,31,11,13,60,69,38,44
By type of election,,,,,,,,,,,
Consent electrons,123,II,89,13,106,2,16,13,106,15,122
Stipulated elections,3707,303,82,125,34,92,25,395,107,217,59
Expedited elections,7,0,00,0,00,0,00,0,00,0,00
Regional Director-directed electrons,780,118,15 1,34,44,13,1 7,131,168,47,60
Board-directed elections,25,I,4 0,1,40,4,160,5,200,5,200
