row_label,Participating unions,Total elections,Percent won,Total won,AFL-CIO unions,Teamsters,Other national unions,Other local unions,No representative chosen,Total eligible,AFL-CIO unions,Teamsters,AFL-CIO unions,Teamsters,Other national unions,No representative chosen
3 (or more)-union elections,40,90.0,36,12,13,5,1,4,35078,32822,2967,1482,3187,25186,,2256
Total RC elections,8066,55.6,4483,2504,1391,364,224,,538100,280302,147426,35878,26119,70879,,275798
Total RM elections,406,41.9,170,79,70,8,13,236,14746,8053,3866,1404,469,724,,6693
