row_label,Number of — / Cases,Number of — / Workers involved,Percentage of — / Total cases,Percentage of — / Cases closed
After formal action: By consolidation,38,,.8,1.6
After formal action: By intermediate report finding no violation,2,21,,
After formal action: By compliance with intermediate report,6,604,,.2
After formal action: By dismissal of complaint or petition,5,3774,,.2
After formal action: By issuance of decisions or orders: Certifications,43,18249,.9,1.8
After formal action: By issuance of decisions or orders: Compliance,3,3961,,.1
After formal action: By issuance of decisions or orders: Dismissal of complaint or petition,11,1369,.2,.4
After formal action: By issuance of decisions or orders: Refusal to certify,1,50,,
Total cases closed,2344,467807,53.3,
Cases pending,2054,1027028,46.7,
