row_label,Participating unions,Total valid votes cast,Valid votes cast in elections won — Total,Valid votes cast in elections won — AFL-CIO unions,Valid votes cast in elections won — Teamsters,Valid votes cast in elections won — Other national unions,Valid votes cast in elections won — Other local unions,Total votes for unions (won),Valid votes cast in elections lost — Total,Valid votes cast in elections lost — AFL-CIO unions,Valid votes cast in elections lost — Teamsters,Valid votes cast in elections lost — Other national unions,Valid votes cast in elections lost — Other local unions,Total votes for unions (lost)
Total RC elections,626809,341613,144663,31533,35135,63422,,66135,61000,,,,147101,
1-union elections — Total,382608,132005,77754,17274,5302,2463,30153,,,,,,,
1-union elections — AFL-CIO,167165,77754,77754,,,,40318,,,,,,,
1-union elections — Teamsters,32432,17274,,17274,,,11670,,,,,,,
2-union elections — Total,167144,132005,64054,11670,25062,30180,,,,,,,,
2-union elections — AFL-CIO v Teamsters,42729,28663,16872,11791,,,,,,,,,,
3 (or more)-union elections — Total,8623,7812,3815,1018,471,2508,,,,,,,325,
