Affiliation of union holding union-shop contract,Number of polls / Total,Number of polls / Resulting in deauthorization / Number,Number of polls / Resulting in deauthorization / Percent of total,Number of polls / Resulting in continued authorization / Number,Number of polls / Resulting in continued authorization / Percent of total,Employees involved (number eligible to vote) / Total eligible,Employees involved (number eligible to vote) / In polls / Resulting in deauthorization / Number,Employees involved (number eligible to vote) / In polls / Resulting in deauthorization / Percent of total,Employees involved (number eligible to vote) / In polls / Resulting in continued authorization / Number,Employees involved (number eligible to vote) / In polls / Resulting in continued authorization / Percent of total,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for deauthorization / Number,Valid votes cast / Cast for deauthorization / Percent of total eligible
Total,97,56,57.7,41,42.3,6158,2799,45.5,3359,54.5,4536,73.7,1602,35.3
AFL-CIO unions,70,38,54.3,32,45.7,4571,1945,42.6,2626,57.4,3423,74.9,1091,31.9
Teamsters,21,12,57.1,9,42.9,1113,380,34.1,733,65.9,774,68.5,223,28.8
Other local unions,6,6,100.0,0,,474,474,100.0,0,,339,71.5,288,
