row_label,Size of establishment (Number of employees),Total — Number of situations,Total — Percent of total situations,Total — Cumulative percent,CA — Number,CA — Percent by class,CB — Number,CB — Percent by class,CC — Number,CC — Percent by class,CD — Number,CD — Percent by class,CE — Number,CE — Percent by class,CG — Number,CG — Percent by class,CP — Number,CP — Percent by class,CA-CB combinations — Number,CA-CB combinations — Percent by class,Other-C combinations — Number,Other-C combinations — Percent by class
Total ULP situations FY1986 (all establishment sizes),730326,31028,100.0,,20843,100.0,6743,100.0,985,100.0,231,100.0,58,100.0,21,100.0,194,100.0,1311,100.0,140,100.0
Under 10 employees,8407,5615,27.7,,3615,17.3,1548,23.0,414,42.0,,,,,,,68,35.1,241,18.4,,
