row_label,col_1,col_2,col_3,col_4
completed,Hearings,89,9,77
Decisions issued after hearing .,Decisions issued after hearing .,119,11,107
By Regional Directors,By Regional Directors,109,10,99
By Board,By Board,10,1,8
Transferred by Regional Directors for initial decision,Transferred by Regional Directors for initial decision,0,0,0
Review of Regional Directors' decisions,Review of Regional Directors' decisions,,,
Requests for review received,Requests for review received,40,1,37
Withdrawn before request ruled upon ...... .,Withdrawn before request ruled upon ...... .,2,0,2
"Board action on requests ruled upon, total .","Board action on requests ruled upon, total .",31,1,zs
Granted,Granted,10,,9
Denied,Denied,18,,17
Remanded,Remanded,3,,2
"Withdrawn after request granted, before Board review ....","Withdrawn after request granted, before Board review ....",0,0,0
"Board decision after review, total","Board decision after review, total",10,1,8
Regional Directors' decisions,Regional Directors' decisions,,,
Affirmed Modified,,6 0,,5 0
